id,image,CQ,AQ,HQ,VQ,model,prompt_version,raw
136,00136_stitched.jpg,0.32,-0.05,0.01,-0.13,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.32,""AQ"":-0.05,""HQ"":0.01,""VQ"":-0.13}"
141,00141_stitched.jpg,-0.15,0.5,0.04,0.15,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.15,""AQ"":0.50,""HQ"":0.04,""VQ"":0.15}"
152,00152_stitched.jpg,0.61,0.22,0.05,0.21,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.61,""AQ"":0.22,""HQ"":0.05,""VQ"":0.21}"
173,00173_stitched.jpg,-0.18,0.07,0.32,0.33,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.18,""AQ"":0.07,""HQ"":0.32,""VQ"":0.33}"
175,00175_stitched.jpg,0.4,0.4,-0.14,-0.29,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.40,""AQ"":0.40,""HQ"":-0.14,""VQ"":-0.29}"
177,00177_stitched.jpg,0.3,-0.07,0.28,-0.03,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.30,""AQ"":-0.07,""HQ"":0.28,""VQ"":-0.03}"
182,00182_stitched.jpg,0.2,0.27,0.06,0.14,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.20,""AQ"":0.27,""HQ"":0.06,""VQ"":0.14}"
192,00192_stitched.jpg,0.45,0.25,0.54,-0.17,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.45,""AQ"":0.25,""HQ"":0.54,""VQ"":-0.17}"
199,00199_stitched.jpg,-0.0,-0.16,-0.32,-0.01,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.00,""AQ"":-0.16,""HQ"":-0.32,""VQ"":-0.01}"
200,00200_stitched.jpg,-0.08,0.01,0.0,0.16,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.08,""AQ"":0.01,""HQ"":0.00,""VQ"":0.16}"
211,00211_stitched.jpg,-0.23,-0.09,0.09,0.0,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.23,""AQ"":-0.09,""HQ"":0.09,""VQ"":0.00}"
225,00225_stitched.jpg,0.3,0.1,-0.04,0.04,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.30,""AQ"":0.10,""HQ"":-0.04,""VQ"":0.04}"
231,00231_stitched.jpg,0.47,0.84,0.34,-0.16,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.47,""AQ"":0.84,""HQ"":0.34,""VQ"":-0.16}"
247,00247_stitched.jpg,0.53,0.63,0.28,0.03,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.53,""AQ"":0.63,""HQ"":0.28,""VQ"":0.03}"
262,00262_stitched.jpg,0.26,-0.33,-0.1,0.03,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.26,""AQ"":-0.33,""HQ"":-0.10,""VQ"":0.03}"
265,00265_stitched.jpg,0.35,-0.26,-0.21,0.17,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.35,""AQ"":-0.26,""HQ"":-0.21,""VQ"":0.17}"
271,00271_stitched.jpg,0.2,0.48,0.04,-0.12,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.20,""AQ"":0.48,""HQ"":0.04,""VQ"":-0.12}"
272,00272_stitched.jpg,0.74,0.76,0.31,-0.07,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.74,""AQ"":0.76,""HQ"":0.31,""VQ"":-0.07}"
274,00274_stitched.jpg,-0.02,0.25,0.02,0.08,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.02,""AQ"":0.25,""HQ"":0.02,""VQ"":0.08}"
277,00277_stitched.jpg,-0.12,0.27,0.41,0.06,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.12,""AQ"":0.27,""HQ"":0.41,""VQ"":0.06}"
279,00279_stitched.jpg,-0.16,0.01,-0.01,0.28,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.16,""AQ"":0.01,""HQ"":-0.01,""VQ"":0.28}"
285,00285_stitched.jpg,0.26,0.58,0.23,0.11,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.26,""AQ"":0.58,""HQ"":0.23,""VQ"":0.11}"
287,00287_stitched.jpg,0.28,0.28,0.22,-0.07,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.28,""AQ"":0.28,""HQ"":0.22,""VQ"":-0.07}"
291,00291_stitched.jpg,0.18,-0.12,0.16,-0.01,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.18,""AQ"":-0.12,""HQ"":0.16,""VQ"":-0.01}"
300,00300_stitched.jpg,0.42,0.39,0.03,0.02,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.42,""AQ"":0.39,""HQ"":0.03,""VQ"":0.02}"
303,00303_stitched.jpg,0.14,0.05,0.15,-0.07,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.14,""AQ"":0.05,""HQ"":0.15,""VQ"":-0.07}"
311,00311_stitched.jpg,0.41,-0.12,-0.16,-0.13,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.41,""AQ"":-0.12,""HQ"":-0.16,""VQ"":-0.13}"
319,00319_stitched.jpg,0.93,0.89,0.89,-0.0,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.93,""AQ"":0.89,""HQ"":0.89,""VQ"":-0.00}"
340,00340_stitched.jpg,0.28,0.44,0.23,-0.15,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.28,""AQ"":0.44,""HQ"":0.23,""VQ"":-0.15}"
344,00344_stitched.jpg,0.2,0.49,-0.23,0.13,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.20,""AQ"":0.49,""HQ"":-0.23,""VQ"":0.13}"
346,00346_stitched.jpg,0.22,0.15,0.06,0.12,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.22,""AQ"":0.15,""HQ"":0.06,""VQ"":0.12}"
351,00351_stitched.jpg,0.34,0.04,-0.13,0.1,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.34,""AQ"":0.04,""HQ"":-0.13,""VQ"":0.10}"
352,00352_stitched.jpg,0.41,0.54,-0.32,-0.02,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.41,""AQ"":0.54,""HQ"":-0.32,""VQ"":-0.02}"
364,00364_stitched.jpg,0.82,0.05,0.18,-0.14,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.82,""AQ"":0.05,""HQ"":0.18,""VQ"":-0.14}"
377,00377_stitched.jpg,0.24,-0.05,-0.01,-0.04,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.24,""AQ"":-0.05,""HQ"":-0.01,""VQ"":-0.04}"
381,00381_stitched.jpg,0.42,-0.19,0.02,0.04,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.42,""AQ"":-0.19,""HQ"":0.02,""VQ"":0.04}"
386,00386_stitched.jpg,-0.07,-0.11,0.5,0.08,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.07,""AQ"":-0.11,""HQ"":0.50,""VQ"":0.08}"
394,00394_stitched.jpg,0.04,0.08,0.14,-0.16,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.04,""AQ"":0.08,""HQ"":0.14,""VQ"":-0.16}"
398,00398_stitched.jpg,0.23,0.52,0.24,-0.01,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.23,""AQ"":0.52,""HQ"":0.24,""VQ"":-0.01}"
403,00403_stitched.jpg,0.54,0.62,0.42,-0.06,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.54,""AQ"":0.62,""HQ"":0.42,""VQ"":-0.06}"
405,00405_stitched.jpg,0.13,-0.36,0.29,0.01,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.13,""AQ"":-0.36,""HQ"":0.29,""VQ"":0.01}"
411,00411_stitched.jpg,-0.19,-0.19,0.48,-0.07,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.19,""AQ"":-0.19,""HQ"":0.48,""VQ"":-0.07}"
417,00417_stitched.jpg,0.32,0.21,0.2,0.14,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.32,""AQ"":0.21,""HQ"":0.20,""VQ"":0.14}"
421,00421_stitched.jpg,0.6,0.43,-0.04,-0.0,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.60,""AQ"":0.43,""HQ"":-0.04,""VQ"":-0.00}"
422,00422_stitched.jpg,0.67,0.33,0.23,-0.08,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.67,""AQ"":0.33,""HQ"":0.23,""VQ"":-0.08}"
427,00427_stitched.jpg,0.17,0.32,0.13,0.07,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.17,""AQ"":0.32,""HQ"":0.13,""VQ"":0.07}"
429,00429_stitched.jpg,0.65,0.07,0.15,-0.01,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.65,""AQ"":0.07,""HQ"":0.15,""VQ"":-0.01}"
433,00433_stitched.jpg,-0.1,0.1,-0.22,0.13,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.10,""AQ"":0.10,""HQ"":-0.22,""VQ"":0.13}"
436,00436_stitched.jpg,0.26,0.03,0.05,0.1,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.26,""AQ"":0.03,""HQ"":0.05,""VQ"":0.10}"
440,00440_stitched.jpg,0.04,-0.03,0.07,0.04,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.04,""AQ"":-0.03,""HQ"":0.07,""VQ"":0.04}"
445,00445_stitched.jpg,0.46,0.42,0.39,-0.1,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.46,""AQ"":0.42,""HQ"":0.39,""VQ"":-0.10}"
446,00446_stitched.jpg,0.42,0.46,0.3,0.16,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.42,""AQ"":0.46,""HQ"":0.30,""VQ"":0.16}"
453,00453_stitched.jpg,0.26,0.14,0.24,-0.01,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.26,""AQ"":0.14,""HQ"":0.24,""VQ"":-0.01}"
464,00464_stitched.jpg,0.14,0.1,-0.22,0.17,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.14,""AQ"":0.10,""HQ"":-0.22,""VQ"":0.17}"
469,00469_stitched.jpg,0.53,0.28,-0.08,-0.04,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.53,""AQ"":0.28,""HQ"":-0.08,""VQ"":-0.04}"
471,00471_stitched.jpg,0.13,0.11,-0.1,0.15,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.13,""AQ"":0.11,""HQ"":-0.10,""VQ"":0.15}"
477,00477_stitched.jpg,-0.32,0.19,-0.11,0.07,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.32,""AQ"":0.19,""HQ"":-0.11,""VQ"":0.07}"
485,00485_stitched.jpg,0.32,0.23,-0.44,-0.0,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.32,""AQ"":0.23,""HQ"":-0.44,""VQ"":-0.00}"
491,00491_stitched.jpg,-0.31,-0.22,-0.08,-0.1,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.31,""AQ"":-0.22,""HQ"":-0.08,""VQ"":-0.10}"
495,00495_stitched.jpg,-0.12,0.06,-0.05,0.07,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.12,""AQ"":0.06,""HQ"":-0.05,""VQ"":0.07}"
498,00498_stitched.jpg,-0.2,-0.48,-0.09,-0.07,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.20,""AQ"":-0.48,""HQ"":-0.09,""VQ"":-0.07}"
501,00501_stitched.jpg,0.49,-0.19,0.1,0.03,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.49,""AQ"":-0.19,""HQ"":0.10,""VQ"":0.03}"
507,00507_stitched.jpg,0.2,0.32,-0.18,0.1,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.20,""AQ"":0.32,""HQ"":-0.18,""VQ"":0.10}"
514,00514_stitched.jpg,0.21,-0.11,0.18,0.05,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.21,""AQ"":-0.11,""HQ"":0.18,""VQ"":0.05}"
517,00517_stitched.jpg,0.31,0.04,-0.33,-0.12,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.31,""AQ"":0.04,""HQ"":-0.33,""VQ"":-0.12}"
519,00519_stitched.jpg,0.49,0.34,-0.14,0.08,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.49,""AQ"":0.34,""HQ"":-0.14,""VQ"":0.08}"
524,00524_stitched.jpg,0.09,-0.1,-0.13,0.01,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.09,""AQ"":-0.10,""HQ"":-0.13,""VQ"":0.01}"
526,00526_stitched.jpg,0.49,-0.24,-0.12,0.0,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.49,""AQ"":-0.24,""HQ"":-0.12,""VQ"":0.00}"
530,00530_stitched.jpg,0.01,-0.15,-0.11,-0.22,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.01,""AQ"":-0.15,""HQ"":-0.11,""VQ"":-0.22}"
554,00554_stitched.jpg,-0.11,0.25,0.1,0.09,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.11,""AQ"":0.25,""HQ"":0.10,""VQ"":0.09}"
559,00559_stitched.jpg,-0.1,-0.07,0.11,0.17,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.10,""AQ"":-0.07,""HQ"":0.11,""VQ"":0.17}"
561,00561_stitched.jpg,0.11,0.04,0.13,-0.0,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.11,""AQ"":0.04,""HQ"":0.13,""VQ"":-0.00}"
562,00562_stitched.jpg,-0.0,0.01,0.04,0.37,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.00,""AQ"":0.01,""HQ"":0.04,""VQ"":0.37}"
565,00565_stitched.jpg,-0.08,0.07,0.22,0.1,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.08,""AQ"":0.07,""HQ"":0.22,""VQ"":0.10}"
569,00569_stitched.jpg,0.31,-0.01,0.22,-0.07,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.31,""AQ"":-0.01,""HQ"":0.22,""VQ"":-0.07}"
573,00573_stitched.jpg,0.08,-0.12,0.17,0.14,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.08,""AQ"":-0.12,""HQ"":0.17,""VQ"":0.14}"
576,00576_stitched.jpg,0.35,0.11,0.39,-0.05,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.35,""AQ"":0.11,""HQ"":0.39,""VQ"":-0.05}"
580,00580_stitched.jpg,0.25,0.01,-0.03,0.15,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.25,""AQ"":0.01,""HQ"":-0.03,""VQ"":0.15}"
595,00595_stitched.jpg,0.01,0.33,-0.02,0.06,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.01,""AQ"":0.33,""HQ"":-0.02,""VQ"":0.06}"
597,00597_stitched.jpg,-0.08,0.5,0.1,0.1,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.08,""AQ"":0.50,""HQ"":0.10,""VQ"":0.10}"
601,00601_stitched.jpg,0.25,0.09,-0.27,0.11,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.25,""AQ"":0.09,""HQ"":-0.27,""VQ"":0.11}"
604,00604_stitched.jpg,0.56,0.31,0.1,-0.18,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.56,""AQ"":0.31,""HQ"":0.10,""VQ"":-0.18}"
607,00607_stitched.jpg,0.17,0.56,0.16,0.15,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.17,""AQ"":0.56,""HQ"":0.16,""VQ"":0.15}"
609,00609_stitched.jpg,0.95,-0.04,0.14,-0.06,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.95,""AQ"":-0.04,""HQ"":0.14,""VQ"":-0.06}"
614,00614_stitched.jpg,0.12,0.26,0.28,-0.15,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.12,""AQ"":0.26,""HQ"":0.28,""VQ"":-0.15}"
620,00620_stitched.jpg,0.16,-0.16,0.17,0.05,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.16,""AQ"":-0.16,""HQ"":0.17,""VQ"":0.05}"
626,00626_stitched.jpg,0.18,0.2,-0.23,0.27,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.18,""AQ"":0.20,""HQ"":-0.23,""VQ"":0.27}"
627,00627_stitched.jpg,0.1,-0.12,0.17,0.19,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.10,""AQ"":-0.12,""HQ"":0.17,""VQ"":0.19}"
628,00628_stitched.jpg,0.18,0.18,-0.03,0.01,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.18,""AQ"":0.18,""HQ"":-0.03,""VQ"":0.01}"
633,00633_stitched.jpg,0.23,0.11,0.15,-0.03,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.23,""AQ"":0.11,""HQ"":0.15,""VQ"":-0.03}"
637,00637_stitched.jpg,0.2,0.02,-0.19,0.09,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.20,""AQ"":0.02,""HQ"":-0.19,""VQ"":0.09}"
638,00638_stitched.jpg,0.35,0.32,0.2,0.02,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.35,""AQ"":0.32,""HQ"":0.20,""VQ"":0.02}"
643,00643_stitched.jpg,0.26,0.01,0.05,-0.12,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.26,""AQ"":0.01,""HQ"":0.05,""VQ"":-0.12}"
645,00645_stitched.jpg,-0.05,0.2,0.06,0.11,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.05,""AQ"":0.20,""HQ"":0.06,""VQ"":0.11}"
646,00646_stitched.jpg,0.19,0.29,0.19,0.32,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.19,""AQ"":0.29,""HQ"":0.19,""VQ"":0.32}"
651,00651_stitched.jpg,0.51,0.3,-0.07,-0.34,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.51,""AQ"":0.30,""HQ"":-0.07,""VQ"":-0.34}"
658,00658_stitched.jpg,-0.1,-0.15,0.2,0.27,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.10,""AQ"":-0.15,""HQ"":0.20,""VQ"":0.27}"
661,00661_stitched.jpg,0.0,0.11,0.16,0.08,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.00,""AQ"":0.11,""HQ"":0.16,""VQ"":0.08}"
663,00663_stitched.jpg,0.05,0.41,0.6,0.27,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.05,""AQ"":0.41,""HQ"":0.60,""VQ"":0.27}"
668,00668_stitched.jpg,0.51,0.19,0.49,-0.24,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.51,""AQ"":0.19,""HQ"":0.49,""VQ"":-0.24}"
670,00670_stitched.jpg,-0.1,-0.22,0.25,0.13,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.10,""AQ"":-0.22,""HQ"":0.25,""VQ"":0.13}"
675,00675_stitched.jpg,0.29,0.35,0.6,-0.03,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.29,""AQ"":0.35,""HQ"":0.60,""VQ"":-0.03}"
679,00679_stitched.jpg,0.35,0.09,0.17,0.0,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.35,""AQ"":0.09,""HQ"":0.17,""VQ"":0.00}"
685,00685_stitched.jpg,-0.14,0.43,0.19,0.15,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.14,""AQ"":0.43,""HQ"":0.19,""VQ"":0.15}"
688,00688_stitched.jpg,-0.14,0.39,0.21,-0.16,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.14,""AQ"":0.39,""HQ"":0.21,""VQ"":-0.16}"
693,00693_stitched.jpg,0.89,0.34,0.13,-0.06,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.89,""AQ"":0.34,""HQ"":0.13,""VQ"":-0.06}"
697,00697_stitched.jpg,0.35,-0.01,-0.07,-0.04,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.35,""AQ"":-0.01,""HQ"":-0.07,""VQ"":-0.04}"
699,00699_stitched.jpg,0.18,0.46,0.07,0.43,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.18,""AQ"":0.46,""HQ"":0.07,""VQ"":0.43}"
712,00712_stitched.jpg,0.17,0.03,-0.06,-0.07,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.17,""AQ"":0.03,""HQ"":-0.06,""VQ"":-0.07}"
716,00716_stitched.jpg,0.15,-0.11,-0.14,-0.1,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.15,""AQ"":-0.11,""HQ"":-0.14,""VQ"":-0.10}"
721,00721_stitched.jpg,0.51,-0.01,0.04,-0.06,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.51,""AQ"":-0.01,""HQ"":0.04,""VQ"":-0.06}"
724,00724_stitched.jpg,0.3,0.4,-0.07,0.01,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.30,""AQ"":0.40,""HQ"":-0.07,""VQ"":0.01}"
729,00729_stitched.jpg,0.02,0.29,-0.02,0.08,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.02,""AQ"":0.29,""HQ"":-0.02,""VQ"":0.08}"
733,00733_stitched.jpg,0.6,0.49,0.37,0.03,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.60,""AQ"":0.49,""HQ"":0.37,""VQ"":0.03}"
736,00736_stitched.jpg,-0.04,0.25,0.01,-0.14,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.04,""AQ"":0.25,""HQ"":0.01,""VQ"":-0.14}"
741,00741_stitched.jpg,0.04,0.14,0.14,0.24,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.04,""AQ"":0.14,""HQ"":0.14,""VQ"":0.24}"
742,00742_stitched.jpg,0.28,0.37,0.01,0.06,gpt-4.1-mini,rubric_prompt,"{""CQ"":0.28,""AQ"":0.37,""HQ"":0.01,""VQ"":0.06}"
748,00748_stitched.jpg,-0.08,0.08,0.21,0.14,gpt-4.1-mini,rubric_prompt,"{""CQ"":-0.08,""AQ"":0.08,""HQ"":0.21,""VQ"":0.14}"
